,course_link,course_title,course_type,author,price,price_with_video,course_rating,course_rating_count,rubies,target_color,beginning,casual,intermediate,advanced,expert,language,instruction_word_count,free_video,trainable_variations,avg_line_depth,released_on,support_level,section
165,accelerate-the-dragon/course/11187/,Accelerate The Dragon,Opening course,IM piongu (2446 FIDE),13.99,9.99,4,57,86,black pieces,0,1,1,1,0,English,"7,008",55 minutes,82,16.2,"May 24, 2018",High,Titled player
166,mastering-pawn-endgames-volume-1/course/16896/,Mastering Pawn Endgames: Volume 1,Endgame course,"IM Ahmad_Alkhatib (2359 Online Rating, 2271 FIDE)",10.5,10.5,4,120,300,both pieces,1,1,1,1,0,English,"9,034",,142,7.2,"Feb 06, 2019",High,Titled player
167,mastering-pawn-endgames-volume-3/course/24343/,Mastering Pawn Endgames: Volume 3,Endgame course,"IM Ahmad_Alkhatib (2359 Online Rating, 2271 FIDE)",10.5,10.5,4,12,24,white pieces,0,1,1,1,0,English,"15,105",,83,7.35,"Jun 17, 2019",High,Titled player
168,mastering-pawn-endgames-volume-4/course/27562/,Mastering Pawn Endgames: Volume 4,Endgame course,"IM Ahmad_Alkhatib (2359 Online Rating, 2271 FIDE)",10.5,10.5,4,8,12,both pieces,0,1,1,1,0,English,"6,164",,119,6.96,"Sep 23, 2019",High,Titled player
169,mastering-pawn-endgames-volume-2/course/20722/,Mastering Pawn Endgames: Volume 2,Endgame course,"IM Ahmad_Alkhatib (2359 Online Rating, 2271 FIDE)",10.5,10.5,4,32,28,white pieces,0,1,1,1,0,English,"14,405",,76,9.68,"Mar 08, 2019",High,Titled player
170,crush-the-kings-gambit/course/25572/,Crush the King's Gambit!,Opening course,"NM RARattacker (2267 USCF, 2193 FIDE)",10.5,10.5,4,6,20,black pieces,0,1,1,1,1,No language,"12,101",,47,11.18,"Jan 08, 2020",High,Titled player
171,strategy-training-bobby-fischer/course/19768/,Strategy Training: Bobby Fischer,Tactics/Strategy course,IM Thomas Willemze & New in Chess,10.5,31.5,4,9,34,both pieces,0,1,1,1,0,English,"3,548",3 minutes,31,11.13,"Feb 19, 2019",Community,Publisher
172,strategy-training-magnus-carlsen/course/13960/,Strategy Training: Magnus Carlsen,Strategy course,"IM Thomas Willemze, FM Frank Erwich & New in Chess",10.5,31.5,4,34,100,both pieces,0,1,1,1,0,English,"4,355",,30,4.73,"Oct 15, 2018",Community,Publisher
173,strategy-training-vladimir-kramnik/course/20361/,Strategy Training: Vladimir Kramnik,Tactics/Strategy course,IM Thomas Willemze & New in Chess,10.5,31.5,4,14,58,both pieces,0,1,1,1,0,English,"4,226",2 minutes,31,7.26,"Feb 25, 2019",Community,Publisher
174,crush-the-modern-benoni-three-pawns-attack/course/36435/,Crush the Modern Benoni: Three Pawns Attack,Opening course,"Chessforlife (2553 Online Rating, 2100 FIDE)",10.99,10.99,5,3,0,white pieces,0,0,1,1,1,English,"10,355",,56,20.08,"May 28, 2020",High,Community
175,thematic-tactics-scandinavian/course/13650/,Thematic Tactics: Scandinavian,Tactics course,FM Martin Voigt & IM Dirk Sebastian (2452 FIDE),10.5,10.5,4,30,20,both pieces,1,1,1,1,1,English,"5,233",,169,2.91,"Aug 31, 2018",High,Titled player
176,thematic-tactics-pawn-endgames/course/35275/,Thematic Tactics: Pawn Endgames,Tactics/Endgame course,FM Martin Voigt & IM Dirk Sebastian (2452 FIDE),10.5,10.5,4,17,63,both pieces,0,0,1,1,1,English,"5,665",,119,4.14,"Feb 28, 2020",High,Titled player
177,club-the-caro-kann-the-caveman-variation/course/19836/,Club the Caro-Kann: The Caveman variation,Opening course,JeroenW (2147 FIDE),10.99,10.99,4,25,30,white pieces,0,1,1,1,0,No language,"18,947",,104,21.48,"Apr 15, 2019",High,Community
178,take-down-the-french-advance/course/26995/,Take Down the French Advance,Opening course,"till (2495 Online Rating, 2205 FIDE)",15.99,10.99,5,4,20,black pieces,0,1,1,1,1,English,"19,879",,386,13.51,"Sep 25, 2019",High,Community
179,crush-1b3-with-1e5/course/25284/,Crush 1.b3 with 1...e5!,Opening course,"NM logozar (2588 Online Rating, 2226 USCF, 2058 FIDE)",10.99,10.99,4,24,60,black pieces,0,1,1,1,1,No language,"9,365",,41,11.91,"Aug 21, 2019",High,Titled player
180,max-attack-the-max-lange-gambit/course/27205/,Max Attack! - The Max Lange Gambit,Opening course,"SebastianHoffmann (2415 Online Rating, 2187 FIDE)",10.5,10.5,4,10,0,white pieces,1,1,1,1,0,English,"4,093",,47,15.32,"Sep 25, 2019",High,Community
181,gm-rafael-leitaos-sicilian-najdorf/course/1630/,GM Rafael Leitao's Sicilian Najdorf,Opening course,"NM logozar (2588 Online Rating, 2226 USCF, 2058 FIDE) officially endorsed",10.99,10.99,4,73,146,black pieces,0,0,1,1,0,English,"17,364",,122,16.05,"Jul 18, 2016",Community,Titled player
182,crush-the-dragon/course/8128/,Crush the Dragon!,Opening course,"NM logozar (2588 Online Rating, 2226 USCF, 2058 FIDE)",10.99,10.99,4,16,19,white pieces,0,0,1,1,0,English,"13,073",,82,20.03,"Nov 22, 2017",High,Titled player
183,improving-endgame-technique-same-colored-bishop-endgames/course/14707/,Improving Endgame Technique: Same-Colored Bishop Endgames,Endgame course,GM Valeriy Aveskulov (2529 FIDE),10.5,10.5,5,17,30,both pieces,0,0,1,1,0,English,"29,784",,52,14.14,"Sep 21, 2018",High,Titled player
184,improving-endgame-technique-opposite-colored-bishop-endgames/course/3772/,Improving Endgame Technique: Opposite Colored Bishop Endgames,Endgame course,GM Valeriy Aveskulov (2529 FIDE),10.5,10.5,5,7,73,both pieces,0,0,1,1,0,English,"38,742",,63,18.36,"Oct 24, 2018",High,Titled player
185,modernized-the-fried-liver-attack/course/21770/,Modernized: The Fried Liver Attack!,Opening course,Ring (2350 Online Rating),10.99,10.99,4,3,32,white pieces,0,1,1,1,0,English,"9,163",,180,18.36,"May 24, 2019",High,Community
